Gene,BRCA_1,BRCA_2,BRCA_3,Treated_1,Treated_2,Treated_3,Treated_4,Treated_5
Efna4,17,15,14,13,28,26,14,18
Efnb1,1313,1547,1448,3100,3805,3314,2170,1951
Efnb3,462,362,456,377,373,324,423,393
Eftud1,1746,1460,1747,1525,1494,1243,1634,1547
Egf,2,7,5,6,4,13,10,3
Egfem1,684,628,729,577,517,481,556,646
Egfl7,981,981,1119,837,687,844,862,852
Egfr,164,178,162,56,51,59,160,149
Egln2,1533,1420,1532,2187,2523,2343,1590,1640
Egln3,1824,2039,2245,1507,1452,1507,1899,1699
Egr1,2882,2137,2678,2115,1875,2077,2940,2812
Egr2,333,209,310,294,330,331,190,302
Egr4,1362,1055,1267,665,654,518,974,1102
Ehbp1,2135,1684,1942,1622,1495,1392,2059,2032
Ehbp1l1,6,4,9,6,10,8,4,2
