Symbols,Healthy_1,Healthy_2,Healthy_3,Healthy_4,Healthy_5,Tumor_1,Tumor_2,Tumor_3,Tumor_4,Tumor_5,Tumor_6,Tumor_7,Tumor_8,Tumor_9,Tumor_10,Tumor_11,Tumor_12,Tumor_13,Tumor_14,Tumor_15
OR4C46,3.267541382,3.113447628,3.372568053,4.045998007,2.94451078,3.187871059,3.146618446,2.847632937,3.256093274,3.619030679,2.63737425,3.652336885,3.438868843,2.958562783,3.331146803,3.395209786,3.131916603,3.223560423,3.522724332,3.425909374
OR4C6,3.530114012,3.350925533,2.903716207,3.275941245,3.340543342,3.056902501,3.154654085,2.718030385,3.007451494,3.232245293,2.920066037,3.670311849,3.247374009,3.133975964,3.841546904,3.08491112,3.024420055,3.358319021,3.200178198,2.978699006
OR4D1,2.933651536,3.724477304,3.322041042,3.688233653,3.145630876,3.61228786,3.09524666,3.14560767,3.450905133,3.34727414,3.03966299,3.518099941,3.291103639,2.992231134,3.436002303,3.537201559,3.243389668,3.368589677,3.477386767,4.325608659
OR4D10,2.794574566,2.720923635,2.768374601,3.064700383,3.27055094,3.032515491,2.885027869,3.131642404,3.637547327,3.689439726,3.20593906,2.715337765,3.394718256,2.893028987,3.174515238,2.657860537,3.070205844,3.767579249,3.026377638,3.0974413
OR4D11,3.715461311,3.090983574,3.282868224,3.856618942,3.469469486,4.021824316,3.156524512,3.788880489,3.441218626,3.429395747,3.223081329,4.150094163,3.620317501,3.415908205,3.403053087,3.29807131,3.554946984,3.906745051,3.715766334,2.990129335
OR4D2,3.048460854,3.404430433,2.857932029,2.885481658,2.782906799,2.688404631,2.757140889,2.410805143,3.012766909,2.981571573,2.313980883,2.761738297,2.415147942,2.792563632,2.591566831,2.435830762,2.544006287,2.623102057,3.120169897,2.422935589
OR4D5,4.213113299,4.737660827,3.988190555,4.479614169,4.368127302,4.371517853,4.108938854,4.008858392,4.550281191,4.100828324,3.827677743,4.288944676,4.376359198,3.455472792,3.953141828,3.795509645,3.714933122,4.547480819,4.204715914,4.208716625
OR4D6,3.724468071,3.670775355,3.493100851,4.120173733,3.652681878,3.215774092,3.587574213,3.590695867,3.491328156,3.123651277,3.809411992,2.96966149,3.914034666,3.21514408,3.974845562,3.347091412,3.126666184,3.873433355,3.991510292,3.481928862
OR4D9,3.669484114,3.746037395,2.660074042,3.040435455,2.707649214,3.367051069,2.576992078,2.655186545,2.796120771,2.72638086,2.429431716,3.300270119,3.087875674,2.540890625,2.764167748,2.660536476,2.883130341,2.489153443,3.409932681,2.776768418
OR4E2,3.247926603,3.402981316,3.513362,3.228875646,3.375707194,3.5708888,3.397573738,3.042352854,3.233558529,3.643888251,3.254477898,3.513561133,3.011676417,3.483458905,3.694389512,3.366645082,3.525059407,3.770652691,3.360856594,3.328772851
OR4F13P,2.922268732,3.044870162,2.667179007,2.715740036,2.574104354,2.905455682,2.491023052,2.55703986,2.86426232,2.622852579,2.451435457,2.995735348,2.798384225,2.547407361,2.702919799,3.182079763,2.650925822,2.450947393,3.205887708,3.020158841
OR4F15,2.678942864,2.742567008,2.568220961,2.92135079,2.682986903,2.434477185,2.497227887,2.347580752,2.41866086,2.338187288,2.302339889,2.293329377,2.496375935,2.643915941,2.479469784,2.31653015,2.491073678,2.235631302,2.831770024,2.466946342
OR4F6,3.954773753,4.104896701,4.315060108,3.959709226,4.074007785,3.951327906,3.459985695,3.282370418,3.669756939,3.410151255,3.775556674,4.069704668,3.553950993,3.430167897,4.006361563,3.672875878,3.657505498,3.853210476,3.879169823,3.443206274
